batch_id,supplier_id,temperature_log,humidity_log,shipment_duration_days,barcode_checksum_valid,packaging_seal_intact,expiry_date_format_valid,label_language_count,distributor_verified,price_deviation_pct,reorder_frequency,lot_number_format_valid,regulatory_approval_code,label
B01696,4,5.18674059386608,48.18584535350752,2,1.0,1.0,1.0,4,1.0,-2.1443170034863384,48,1.0,5313,0
B01182,18,4.975696552563592,48.35105827816655,9,1.0,1.0,1.0,4,1.0,3.605597604379263,10,1.0,1797,0
B00361,5,3.8933863259865844,53.04152736027693,6,1.0,1.0,1.0,3,1.0,9.773555986306441,20,1.0,7243,0
B01473,9,5.003998449808633,44.155533383060394,4,1.0,1.0,1.0,4,1.0,-4.553212600439973,28,1.0,5835,0
B00678,5,5.519119796432879,36.349831302823546,5,1.0,1.0,1.0,2,1.0,-0.3468918347016458,33,1.0,7324,0
B01621,10,5.358845370719732,49.710014584682824,9,1.0,1.0,1.0,4,1.0,-9.450532363268769,40,1.0,5675,0
B01089,8,5.116602981992604,39.095482742145975,1,1.0,1.0,1.0,4,1.0,-4.057767717381321,13,1.0,9603,0
F00287,19,11.001283791077736,86.40061643545292,39,0.0,1.0,0.0,2,0.0,-39.59261297779348,8,1.0,441,1
F00147,20,16.669818496391084,73.93975205190272,44,0.0,0.0,1.0,1,0.0,-48.14951174755802,3,0.0,226,1
B00987,15,5.782585966264438,47.09013089205935,2,1.0,1.0,1.0,3,1.0,-1.817810222762842,24,1.0,9053,0
B01512,9,5.820266785446185,35.51788811970164,7,1.0,1.0,1.0,3,1.0,1.9421144715643246,25,1.0,3699,0
B00111,9,4.793737673741427,35.02527357093358,5,1.0,1.0,1.0,4,1.0,3.6977260359796964,35,1.0,2343,0
B01487,1,5.152814615229077,46.93755904136189,7,1.0,1.0,1.0,2,1.0,-4.040116273232156,26,1.0,1592,0
B01453,12,4.862550621057192,49.678372281928965,1,1.0,1.0,1.0,3,1.0,-8.631173920060334,21,1.0,1137,0
B00383,16,5.537657069679677,45.09547359978783,1,1.0,1.0,1.0,3,1.0,-0.30614687600988527,16,1.0,3432,0
B01395,1,5.205365331634547,43.31676697817357,9,1.0,1.0,1.0,2,1.0,-5.719945006616859,18,1.0,4824,0
B01054,12,5.543597592197652,36.02031724331657,7,1.0,1.0,1.0,4,1.0,-6.654046309309997,36,1.0,2561,0
B00755,9,4.750866058449825,47.81184145808339,5,1.0,1.0,1.0,4,1.0,4.715257233033977,24,1.0,5370,0
B00324,12,5.186247854895,54.68727448469212,4,1.0,1.0,1.0,4,1.0,-1.2511808282853725,13,1.0,9707,0
B01623,12,5.149887281860782,47.76849962628424,1,1.0,1.0,1.0,2,1.0,-2.733920779578549,24,1.0,7476,0
B00787,6,5.06166453719527,41.28169193316617,2,1.0,1.0,1.0,4,1.0,-5.2928413912826136,31,1.0,2629,0
B00368,16,5.317120571529611,44.39460019295478,6,1.0,1.0,1.0,4,1.0,1.4984777777554572,43,1.0,7076,0
F00119,33,2.1896565827159815,70.84369810240646,5,0.0,1.0,0.0,1,0.0,-66.28254124148592,8,1.0,496,1
B00069,9,4.668943741587795,37.86333205242268,4,1.0,1.0,1.0,3,1.0,3.99805813028122,17,1.0,6718,0
B00857,8,4.566000000230726,40.06836618037471,8,1.0,1.0,1.0,3,1.0,-5.5529367934502165,37,1.0,2697,0
B01483,1,4.802347261280127,36.457407483846396,5,1.0,1.0,1.0,2,1.0,-0.9771210148468544,47,1.0,6380,0
B01555,1,5.0518985905480465,44.41392713131434,6,1.0,1.0,1.0,3,1.0,3.2718697969680894,39,1.0,1112,0
B01691,8,5.978209126594225,44.71208991725639,9,1.0,1.0,1.0,2,1.0,-9.349636475240414,20,1.0,4898,0
B01474,8,4.966496429028245,46.30313928800013,1,1.0,1.0,1.0,4,1.0,1.7848504869763369,13,1.0,2841,0
F00098,80,11.265226585058487,72.91625831716715,52,0.0,0.0,0.0,1,0.0,-54.90345609610322,12,1.0,354,1
B00478,6,5.202128597506726,41.30324690316756,6,1.0,1.0,1.0,2,1.0,-9.37364140280704,37,1.0,5735,0
B00281,18,5.092883746043386,46.698009267108446,8,1.0,1.0,1.0,4,1.0,2.707220496948686,20,1.0,9949,0
B01647,9,4.032117226394381,44.92939639033283,1,1.0,1.0,1.0,4,1.0,3.6803937802243865,30,1.0,1140,0
B01556,7,5.948369090998288,45.706767633034666,8,1.0,1.0,1.0,2,1.0,-5.063540083308158,49,1.0,4772,0
F00029,58,-0.049705401119577886,82.64214768570614,53,0.0,1.0,1.0,2,0.0,-20.81452161119051,1,1.0,59,1
B00210,16,4.718699859173154,42.800185437967116,9,1.0,1.0,1.0,2,1.0,1.4667177096361461,22,1.0,8089,0
B00297,7,5.287154220419242,38.05507431913771,2,1.0,1.0,1.0,3,1.0,-0.5861979471801261,47,1.0,9152,0
F00184,96,23.985629083125595,94.08856084807421,45,0.0,1.0,0.0,1,0.0,-60.22232759267503,8,0.0,483,1
F00133,78,15.599197075655221,88.6858215399142,45,0.0,1.0,0.0,1,0.0,-34.1698382300781,9,0.0,455,1
B00651,2,4.125011062890602,46.05728876933618,6,1.0,1.0,1.0,4,1.0,3.264207671605786,36,1.0,4512,0
B01233,18,4.359937346533405,51.05862149235344,8,1.0,1.0,1.0,4,1.0,-7.2244866148212985,15,1.0,1275,0
B01502,2,4.450385874820928,46.27823851925215,8,1.0,1.0,1.0,2,1.0,-9.061793532135598,25,1.0,3354,0
F00231,65,7.924839347352606,79.50398563074451,44,1.0,1.0,0.0,1,0.0,-46.713650639863076,5,0.0,38,1
B00916,15,5.3469392224903265,42.92245241805155,1,1.0,1.0,1.0,2,1.0,-6.4275226151395115,16,1.0,6023,0
B00993,19,4.323220071932804,46.07271672478482,4,1.0,1.0,1.0,4,1.0,-1.7025602235558848,40,1.0,9117,0
B00429,16,5.165985866976741,40.95355856377854,3,1.0,1.0,1.0,4,1.0,1.2147817606567564,20,1.0,4845,0
B01370,7,5.055341202827913,45.893277405064566,2,1.0,1.0,1.0,4,1.0,3.3900995773349623,36,1.0,8649,0
B00239,1,4.476761028687786,40.019824361486684,2,1.0,1.0,1.0,4,1.0,0.028428490198386464,49,1.0,6106,0
B00879,10,4.6222483327001225,40.27373670961261,2,1.0,1.0,1.0,4,1.0,-0.44199958397036826,39,1.0,1569,0
B00620,16,5.61931602402056,48.04182771447419,5,1.0,1.0,1.0,4,1.0,-4.984534801651951,40,1.0,1608,0
B00256,19,5.545775712156998,46.68966860317331,9,1.0,1.0,1.0,4,1.0,-3.3352073789434353,39,1.0,6783,0
B00611,7,4.86891314856808,41.89149221880556,1,1.0,1.0,1.0,4,1.0,-0.9708986863143227,19,1.0,5517,0
B00544,8,5.194943409736197,40.722163817883605,3,1.0,1.0,1.0,4,1.0,-3.0198994330361195,15,1.0,8429,0
B00771,15,4.550106068607914,40.48319521226155,9,1.0,1.0,1.0,3,1.0,2.2829992434925095,40,1.0,2017,0
B01419,15,5.183282878596561,43.24777257881892,9,1.0,1.0,1.0,4,1.0,-7.903500258369613,29,1.0,4669,0
B01041,5,5.55697431660783,45.55184428358458,3,1.0,1.0,1.0,3,1.0,5.745685242342672,31,1.0,2542,0
F00089,23,10.884454964422432,88.49759792297544,45,0.0,1.0,1.0,1,0.0,-19.18931109452894,5,1.0,207,1
B00759,5,5.598345408827319,43.421088117799144,8,1.0,1.0,1.0,2,1.0,7.492336620685206,49,1.0,2203,0
B00382,4,5.014523386190872,41.39885456240524,8,1.0,1.0,1.0,3,1.0,-2.498177015562415,26,1.0,9614,0
B01103,19,4.280112893444958,44.943274051123595,1,1.0,1.0,1.0,2,1.0,6.6209261857277895,14,1.0,3167,0
B00973,7,4.682546540128793,44.36012682235742,6,1.0,1.0,1.0,2,1.0,-1.166442808731967,31,1.0,4600,0
B00352,16,5.122509297730233,40.82357147204621,3,1.0,1.0,1.0,2,1.0,-2.1488796307651032,11,1.0,4773,0
B01605,17,5.529371914957404,42.98263470003498,2,1.0,1.0,1.0,2,1.0,-5.235749138899787,34,1.0,7092,0
F00125,94,19.228256883835563,58.45512090540059,5,0.0,1.0,0.0,1,0.0,-31.426010219730948,3,0.0,41,1
B01036,4,5.6215917186071795,46.04252410581621,2,1.0,1.0,1.0,2,1.0,-4.373199070740271,11,1.0,9948,0
B01107,4,5.373044059769843,38.26931982022029,9,1.0,1.0,1.0,3,1.0,3.560949592516382,26,1.0,6656,0
B00494,1,5.791393627061046,52.86530183032082,4,1.0,1.0,1.0,4,1.0,-6.290099556331686,27,1.0,2234,0
B00393,11,5.192942191542163,51.55577934056299,9,1.0,1.0,1.0,3,1.0,-0.017528633793370912,23,1.0,7109,0
B01546,18,5.467696026899064,48.76162446513718,4,1.0,1.0,1.0,3,1.0,0.03674787732374929,42,1.0,6430,0
B00464,10,5.1535322582851215,51.74073924303486,2,1.0,1.0,1.0,2,1.0,4.376450267082644,37,1.0,7222,0
B00886,4,5.575148013150697,40.3810678190352,3,1.0,1.0,1.0,4,1.0,-4.353105115629424,39,1.0,4089,0
B01193,2,4.775615887755684,46.35897842566168,7,1.0,1.0,1.0,2,1.0,2.5415647808126165,38,1.0,8859,0
B00366,12,5.3869163718211395,45.045221040994825,9,1.0,1.0,1.0,2,1.0,0.5579985845075687,28,1.0,5941,0
F00193,65,23.31092566623886,80.96318751148713,20,0.0,0.0,0.0,2,0.0,-12.734795194932364,9,0.0,459,1
F00173,42,9.19489990779331,38.48756698298799,52,0.0,1.0,1.0,2,0.0,-18.744353295835747,10,0.0,441,1
B00744,6,4.863786149377854,51.15884114744746,6,1.0,1.0,1.0,2,1.0,7.250435210878759,29,1.0,8108,0
B00529,3,4.864043999463282,43.21046967685483,8,1.0,1.0,1.0,4,1.0,2.636432698459749,14,1.0,9964,0
B00802,13,5.315528259010753,42.852674282494206,6,1.0,1.0,1.0,2,1.0,2.568175169325761,22,1.0,4731,0
B01223,12,5.001380917941968,44.545359135881625,4,1.0,1.0,1.0,4,1.0,-14.194201653915968,45,1.0,5364,0
F00278,68,18.452999357134175,93.47236873497604,12,1.0,0.0,0.0,2,0.0,-47.42722214130318,12,0.0,77,1
F00205,38,24.084043867895623,78.20546663578588,38,1.0,0.0,0.0,2,0.0,6.79208305312838,5,0.0,70,1
B01699,19,3.6866068713246447,44.633474214552216,8,1.0,1.0,1.0,4,1.0,2.3068176054004654,21,1.0,4721,0
B01544,18,4.15002013965849,36.30299014031631,9,1.0,1.0,1.0,2,1.0,-8.11902655736201,16,1.0,2991,0
B01313,13,5.518100916065861,42.76101224288665,9,1.0,1.0,1.0,2,1.0,-3.26838526874029,44,1.0,8084,0
B00306,8,4.463185496998943,42.201340439299464,1,1.0,1.0,1.0,3,1.0,-2.4774607225894814,46,1.0,3614,0
B01666,11,5.425534607010307,53.43151787101432,4,1.0,1.0,1.0,2,1.0,3.9135196930092535,16,1.0,6131,0
B00862,6,5.090291603304181,45.44457162906539,3,1.0,1.0,1.0,4,1.0,-2.704769517398664,36,1.0,6948,0
B01566,4,4.120903496362014,47.867364934726034,4,1.0,1.0,1.0,3,1.0,0.1973029023205229,45,1.0,4389,0
B00530,19,5.013661380432087,42.151742829208374,3,1.0,1.0,1.0,3,1.0,0.5061386391744732,15,1.0,9098,0
B00654,13,5.4032820883405,55.05240817295789,4,1.0,1.0,1.0,4,1.0,-1.624474073201125,24,1.0,1723,0
B01259,13,4.356240486970351,39.628473068867564,7,1.0,1.0,1.0,2,1.0,2.875539104948853,28,1.0,7068,0
B00233,18,5.672703095305836,41.842576336573494,1,1.0,1.0,1.0,3,1.0,4.763798445970952,26,1.0,1653,0
B00120,5,4.156375288273464,49.197967728336025,1,1.0,1.0,1.0,3,1.0,-7.561489958419978,19,1.0,7542,0
B01697,1,4.6456074598767305,38.308966722478104,2,1.0,1.0,1.0,3,1.0,4.03862864177524,28,1.0,6646,0
B00949,3,4.969228363059976,45.05172007917881,6,1.0,1.0,1.0,3,1.0,-5.612740452522082,43,1.0,9772,0
B00617,12,5.074375448117608,45.04139637166717,1,1.0,1.0,1.0,3,1.0,1.4412578893466323,43,1.0,1019,0
B01178,19,5.728354975030897,37.78970229070895,5,1.0,1.0,1.0,2,1.0,-10.517500458627504,27,1.0,3783,0
B00307,14,5.182136702902219,46.91213280867555,2,1.0,1.0,1.0,2,1.0,-16.737752982437968,31,1.0,8296,0
B00135,11,4.335178348880346,38.48880395491839,6,1.0,1.0,1.0,4,1.0,-0.42522169519011677,28,1.0,6566,0
B00554,17,4.445177247739622,35.04338976309894,6,1.0,1.0,1.0,2,1.0,-0.11043157495788689,12,1.0,3758,0
B01673,10,4.949480611559038,41.84728452130992,1,1.0,1.0,1.0,4,1.0,-2.9565231943947285,10,1.0,2838,0
B00583,3,5.7219983327872725,47.35552899931243,9,1.0,1.0,1.0,4,1.0,2.4731231978714314,10,1.0,4032,0
B01640,15,5.433159975131028,40.90133939094858,5,1.0,1.0,1.0,4,1.0,-5.659667337971665,33,1.0,9481,0
B00670,18,4.274644041128262,46.5306035050598,9,1.0,1.0,1.0,3,1.0,-0.4051191836939985,24,1.0,2373,0
B00834,5,6.041174372047792,47.25133317319743,7,1.0,1.0,1.0,2,1.0,-5.110681219368114,28,1.0,6567,0
B00109,14,5.94824719156478,49.70628927397399,5,1.0,1.0,1.0,2,1.0,1.8997477883639964,35,1.0,9551,0
B01164,12,5.126930604507292,39.875969233314365,1,1.0,1.0,1.0,4,1.0,0.9688228932241026,44,1.0,5499,0
F00259,74,11.974279956609514,56.45191115307451,40,0.0,1.0,1.0,2,0.0,-27.69506860982243,3,1.0,150,1
B01464,18,4.986681677777418,46.11711821123395,7,1.0,1.0,1.0,4,1.0,1.2441853937568939,15,1.0,6985,0
F00028,67,8.936028764657209,56.24637555879639,36,1.0,1.0,1.0,1,0.0,-66.11813761371828,1,0.0,268,1
B01242,15,4.744832508396126,36.8944026147191,2,1.0,1.0,1.0,4,1.0,-0.44456295451731076,29,1.0,9080,0
B00211,12,4.699208159292862,47.74849709155502,1,1.0,1.0,1.0,3,1.0,9.129986058705233,33,1.0,7401,0
F00067,80,13.899683762735448,74.78023229844193,46,0.0,1.0,1.0,2,0.0,-31.23797209409011,11,0.0,380,1
B01120,11,4.290645731226263,47.05214876597251,8,1.0,1.0,1.0,4,1.0,-1.7329229080940958,48,1.0,8134,0
B00679,9,5.043183783536712,54.41637883705531,9,1.0,1.0,1.0,2,1.0,9.460058849948478,15,1.0,8142,0
F00250,73,19.45623902191123,62.36401915063123,22,1.0,1.0,1.0,1,0.0,-44.56711077369906,10,0.0,4,1
F00138,39,11.083031892713569,86.91912713159316,54,1.0,0.0,0.0,2,0.0,-57.56093080931382,13,0.0,86,1
B00411,8,4.992090144868966,47.54768147717966,4,1.0,1.0,1.0,3,1.0,-13.629844250497378,33,1.0,2416,0
B01324,8,4.9329767083714025,35.09924770472506,4,1.0,1.0,1.0,4,1.0,7.458910817120299,45,1.0,9268,0
B00782,17,5.100949779814226,45.05321121616325,4,1.0,1.0,1.0,3,1.0,2.837567306448067,17,1.0,3056,0
B01345,19,5.698314239753656,45.44928081456691,3,1.0,1.0,1.0,4,1.0,-3.664504042458888,47,1.0,3896,0
B00874,1,5.195306588864681,50.56847118841839,9,1.0,1.0,1.0,3,1.0,2.4595450871362003,17,1.0,1248,0
B01652,5,5.717233434673027,47.44396657763324,8,1.0,1.0,1.0,4,1.0,9.21000074767215,12,1.0,6364,0
B01278,18,4.547542673971995,39.43684719380931,8,1.0,1.0,1.0,2,1.0,1.5037450859039772,33,1.0,4476,0
B00785,1,5.198622304620726,47.66873051870787,6,1.0,1.0,1.0,2,1.0,2.0390500730887693,28,1.0,4114,0
F00118,86,20.26168970023209,75.50823138703201,35,0.0,0.0,1.0,1,0.0,-29.211970196555747,14,1.0,416,1
B01198,12,5.645701774108004,45.72946267958429,2,1.0,1.0,1.0,3,1.0,5.429914472226627,38,1.0,9205,0
B00807,9,4.68282844708216,41.055817191815635,1,1.0,1.0,1.0,3,1.0,-2.4686379302911035,27,1.0,4221,0
B00712,18,5.0277877799990796,43.643974033696374,8,1.0,1.0,1.0,3,1.0,-2.11035942544848,21,1.0,7828,0
F00290,93,11.028930181180824,69.07077811762574,20,1.0,1.0,0.0,1,0.0,-60.03804353684889,9,0.0,361,1
B01659,10,3.731305701965058,54.01255929537378,6,1.0,1.0,1.0,2,1.0,-3.913785044396885,24,1.0,8307,0
B01190,3,4.528967049218817,38.58427495776872,3,1.0,1.0,1.0,2,1.0,1.4652554546077767,11,1.0,4342,0
B01225,10,4.908404327141439,48.15479538511457,1,1.0,1.0,1.0,3,1.0,7.875686605439557,19,1.0,7125,0
B00602,19,5.421707154698,34.11709457187942,7,1.0,1.0,1.0,2,1.0,10.13401184468453,41,1.0,8115,0
B00270,14,4.525639088539437,40.830999991822026,5,1.0,1.0,1.0,2,1.0,-8.003685779722712,34,1.0,6250,0
B01384,1,4.8378819945759,46.32599317974151,7,1.0,1.0,1.0,3,1.0,-2.5874327416284784,43,1.0,5329,0
B00231,18,5.6635390510068335,45.805089427522276,2,1.0,1.0,1.0,3,1.0,0.6353428667977774,25,1.0,2425,0
B00049,2,5.765366196268998,43.58949989981357,9,1.0,1.0,1.0,3,1.0,0.40674441673382183,40,1.0,6735,0
B00462,7,4.721359437947959,53.29103686305901,4,1.0,1.0,1.0,4,1.0,-9.643407174314211,30,1.0,8524,0
B01105,8,5.805085764689303,50.12958992859639,9,1.0,1.0,1.0,2,1.0,-4.317286185941967,48,1.0,6926,0
B00855,14,5.244970291400037,44.79530335690581,2,1.0,1.0,1.0,2,1.0,4.189352088338946,37,1.0,6751,0
B00693,1,5.514610895616947,41.42876944473204,6,1.0,1.0,1.0,4,1.0,-2.983016774541772,42,1.0,3846,0
B01551,10,5.235257380880401,41.18105650002559,3,1.0,1.0,1.0,3,1.0,-0.13419784158575918,13,1.0,3569,0
F00172,97,14.276218357204066,59.97690106946033,21,1.0,0.0,1.0,1,0.0,-42.36833573914952,7,0.0,403,1
B00526,11,5.190039354220887,52.90849484060746,3,1.0,1.0,1.0,3,1.0,-3.5762425940879536,40,1.0,3912,0
B00173,4,5.60916865779269,43.21854852697608,3,1.0,1.0,1.0,4,1.0,2.76500835951826,44,1.0,8014,0
B00720,17,5.158471308506082,44.78166490129864,7,1.0,1.0,1.0,4,1.0,-1.8194689475446153,15,1.0,7436,0
B00414,19,5.178083438612421,39.16249820326487,6,1.0,1.0,1.0,4,1.0,4.9013147636084184,27,1.0,2130,0
B00237,9,4.418846421806191,41.804382387640175,7,1.0,1.0,1.0,4,1.0,0.15337588035354552,30,1.0,8459,0
B01472,6,5.146325693700299,39.50880561576832,9,1.0,1.0,1.0,3,1.0,-10.835450307628786,30,1.0,4484,0
B01335,13,5.537133806454933,44.33678427870438,4,1.0,1.0,1.0,2,1.0,4.027902372653634,37,1.0,4811,0
B01063,9,4.45064876130765,44.79195771134469,4,1.0,1.0,1.0,2,1.0,-2.66316926388674,19,1.0,2120,0
B00023,19,5.535700455186861,56.335900975491114,4,1.0,1.0,1.0,3,1.0,-4.730149131754805,46,1.0,8342,0
F00066,20,9.678790605452365,62.95222975850799,28,1.0,1.0,1.0,2,0.0,-42.95170600378121,11,0.0,438,1
B00063,8,4.966804797953432,45.43214258539218,9,1.0,1.0,1.0,2,1.0,-2.9388295248557976,34,1.0,2089,0
B00289,10,4.92763467435714,40.237209385907185,4,1.0,1.0,1.0,4,1.0,2.979656735195832,41,1.0,1130,0
B00188,4,5.061615136457331,46.41394348241838,6,1.0,1.0,1.0,2,1.0,-7.120612058289689,41,1.0,6488,0
B00701,2,5.133703491177732,43.12970175204357,1,1.0,1.0,1.0,3,1.0,-0.46831162444638913,25,1.0,3732,0
F00114,98,6.663471486523143,73.70421529378518,20,0.0,1.0,0.0,2,0.0,-75.3306046868441,1,1.0,3,1
B01137,3,5.623905598958124,47.917214892490335,5,1.0,1.0,1.0,4,1.0,5.670002504073748,18,1.0,8735,0
B00354,5,4.353232128203168,44.72509428349551,3,1.0,1.0,1.0,2,1.0,1.1502780577275042,40,1.0,3415,0
B00416,7,5.255868834539503,44.714547770932654,6,1.0,1.0,1.0,2,1.0,0.5374285916570942,16,1.0,3118,0
B01245,12,4.374965755396802,44.037418880787236,9,1.0,1.0,1.0,3,1.0,-6.810974456913264,30,1.0,4556,0
B00930,19,5.369040187454825,42.719471324297146,1,1.0,1.0,1.0,2,1.0,-11.31573395377572,30,1.0,4625,0
B00196,7,5.255139505266036,48.75268057717653,6,1.0,1.0,1.0,4,1.0,-0.8724225330851254,43,1.0,9818,0
